filename; progsverif-tamarin result ; progsverif-tamarin time
./SSH/ssh-with-one-forwarding.spthy;RESULT not (event(AcceptS2(a,b,skS,skP,source[]))@i && event(Honnest(a))@j) is false. RESULT not (event(AcceptS2(a,b,skS,skP,nested[]))@i && event(Honnest(a))@j) is false. RESULT not (event(KeyP(k))@i && attacker(k)@j) is true. RESULT event(AcceptP(a,b,skS,skP,t))@i ==> i > j && event(AcceptS(a,b,skS,skP2))@j is true. RESULT event(AcceptP(a,b,skS,skP,t))@i && event(AcceptP(a,b,skS,skP,t))@j ==> i = j is true. RESULT event(AcceptS2(a,b,skS,skP,t))@i && event(AcceptS2(a,b,skS,skP,t))@j ==> i = j is true. RESULT event(AcceptP2(a,b,skS,skP,t))@i && event(AcceptP2(a,b,skS,skP,t))@j ==> i = j cannot be proved. RESULT event(AcceptS2(a,b,skS,skP,t))@i ==> i > j && event(AcceptP2(a,b,skS,skP,t))@j is true. RESULT not (event(KeyS2(k))@i && attacker(k)@j) is true. ;4.057147216;
./SSH/ssh-without-forwarding.spthy;RESULT not (event(KeyP(k_2))@i && attacker(k_2)@j) is true. RESULT event(AcceptP(a_1,b_1,skS_1,skP))@i ==> i > j && event(AcceptS(a_1,b_1,skS_1,skP2))@j is true. RESULT event(AcceptP(a_1,b_1,skS_1,skP))@i && event(AcceptP(a_1,b_1,skS_1,skP))@j ==> i = j is true. RESULT event(AcceptS2(a_1,b_1,skS_1,skP))@i && event(AcceptS2(a_1,b_1,skS_1,skP))@j ==> i = j is true. RESULT event(AcceptP2(a_1,b_1,skS_1,skP))@i && event(AcceptP2(a_1,b_1,skS_1,skP))@j ==> i = j is true. RESULT event(AcceptS2(a_1,b_1,skS_1,skP))@i ==> i > j && event(AcceptP2(a_1,b_1,skS_1,skP))@j is true. RESULT not (event(KeyS2(k_2))@i && attacker(k_2)@j) is true. RESULT not event(AcceptS2(k_2,h_2,skS_1,skP))@i is false. ;.347959675;
./privacypass.spthy;RESULT event(Accept(x_2))@i ==> i > j && event(Issue(MVBlind(x_2,r_1)))@j is true. RESULT not event(Accept(x_2))@i is false. ;.062951303;
./ex1.spthy;RESULT not (event(Secret(x)) && attacker(x)) is true. RESULT not (event(Secret(x))@i && attacker(x)@j) is true. RESULT not event(Received(x))@i is false. ;.075000783;
./ExistingSapicModels/OTP.spthy;RESULT not event(SessionV(pka,k))@t1 is false. RESULT not (event(Key(k))@t1 && attacker(k)@t2) is true. RESULT event(SessionV(pka,k))@t1 ==> event(SessionP(pka,k))@t2 && t1 > t2 is true. RESULT not (event(SessionV(pka,k))@t1 && attacker(k)@t2) is true. RESULT event(AskU(pw,fr))@t1 && event(AskU(pw,fr))@t2 ==> t1 = t2 is true. RESULT not (event(Ask(pw,chal,fr,k))@t1 && attacker(chal)@t2) is true. RESULT event(Accept(pw,ch))@t1 ==> event(Ask(pw,ch,fr,k))@t2 && event(AskU(pw,fr))@t3 && t1 > t2 is true. RESULT event(Ask(pw,ch,fr,k))@t1 && event(Ask(pw,ch,fr,k))@t2 ==> t1 = t2 is true. ;.143766994;
./ExistingSapicModels/nsl-no_as-untagged.spthy;RESULT not event(SessionA(pka,pkb,k))@t1 is false. RESULT not event(SessionB(pka,pkb,k))@t1 is false. RESULT not (event(SessionA(pka,pkb,k))@t1 && attacker(k)@t2 && event(HonestA(pka))@i1 && event(HonestB(pkb))@i2) is true. ;.076096853;
./ExistingSapicModels/AC_sid_with_attack.spthy;RESULT event(Voutput(h))@t1 ==> event(Poutput(h))@t2 && t1 > t2 cannot be proved. ;.064286102;
./ExistingSapicModels/AKE.spthy;RESULT not event(Poutput(h1,h2))@t is false. RESULT not event(Voutput(h1,h2))@t is false. RESULT not event(SessionP(pka,k))@t1 is false. RESULT not event(SessionV(pka,k))@t1 is false. RESULT event(SessionV(pka,k))@t1 ==> event(SessionP(pka,k))@t2 && t1 > t2 is true. RESULT not (event(SessionV(pka,k))@t1 && attacker(k)@t2) is true. ;.064660701;
./ExistingSapicModels/AC.spthy;RESULT not event(Local(m,loc[]))@i_2 is false. RESULT event(Local(m,loc[]))@i_2 ==> event(Remote(m,loc[]))@j is true. ;.067579818;
./ExistingSapicModels/AC_counter_with_attack.spthy;RESULT event(Voutput((o2,(i2,(o,list(i_2,init[]))))))@t1 ==> event(Poutput((o2,(i2,(o,list(i_2,init[]))))))@t2 && t1 > t2 is false. ;.073183486;
